"","year","age_group","n"
"1",1980,"<35",79
"2",1980,">50",3
"3",1980,"35-50",49
"4",1981,"<35",49
"5",1981,">50",4
"6",1981,"35-50",18
"7",1982,"<35",76
"8",1982,">50",8
"9",1982,"35-50",50
"10",1983,"<35",82
"11",1983,">50",4
"12",1983,"35-50",44
"13",1984,"<35",106
"14",1984,">50",5
"15",1984,"35-50",77
"16",1985,"<35",145
"17",1985,">50",3
"18",1985,"35-50",64
"19",1986,"<35",72
"20",1986,">50",7
"21",1986,"35-50",54
"22",1987,"<35",112
"23",1987,">50",8
"24",1987,"35-50",52
"25",1988,"<35",227
"26",1988,">50",15
"27",1988,"35-50",128
"28",1989,"<35",190
"29",1989,">50",11
"30",1989,"35-50",135
"31",1990,"<35",150
"32",1990,">50",13
"33",1990,"35-50",95
"34",1991,"<35",179
"35",1991,">50",14
"36",1991,"35-50",157
"37",1992,"<35",196
"38",1992,">50",34
"39",1992,"35-50",195
"40",1993,"<35",200
"41",1993,">50",22
"42",1993,"35-50",141
"43",1994,"<35",114
"44",1994,">50",20
"45",1994,"35-50",147
"46",1995,"<35",145
"47",1995,">50",33
"48",1995,"35-50",118
"49",1996,"<35",181
"50",1996,">50",26
"51",1996,"35-50",171
"52",1997,"<35",174
"53",1997,">50",16
"54",1997,"35-50",189
"55",1998,"<35",148
"56",1998,">50",31
"57",1998,"35-50",155
"58",1999,"<35",125
"59",1999,">50",18
"60",1999,"35-50",135
"61",2000,"<35",218
"62",2000,">50",51
"63",2000,"35-50",212
"64",2001,"<35",214
"65",2001,">50",29
"66",2001,"35-50",219
"67",2002,"<35",125
"68",2002,">50",43
"69",2002,"35-50",152
"70",2003,"<35",281
"71",2003,">50",68
"72",2003,"35-50",302
"73",2004,"<35",265
"74",2004,">50",63
"75",2004,"35-50",246
"76",2005,"<35",308
"77",2005,">50",60
"78",2005,"35-50",301
"79",2006,"<35",350
"80",2006,">50",62
"81",2006,"35-50",366
"82",2007,"<35",436
"83",2007,">50",102
"84",2007,"35-50",394
"85",2008,"<35",315
"86",2008,">50",59
"87",2008,"35-50",260
"88",2009,"<35",336
"89",2009,">50",105
"90",2009,"35-50",341
"91",2010,"<35",342
"92",2010,">50",104
"93",2010,"35-50",340
"94",2011,"<35",387
"95",2011,">50",104
"96",2011,"35-50",338
"97",2012,"<35",397
"98",2012,">50",106
"99",2012,"35-50",358
"100",2013,"<35",415
"101",2013,">50",89
"102",2013,"35-50",367
"103",2014,"<35",156
"104",2014,">50",86
"105",2014,"35-50",263
"106",2015,"<35",346
"107",2015,">50",124
"108",2015,"35-50",409
"109",2016,"<35",364
"110",2016,">50",121
"111",2016,"35-50",386
"112",2017,"<35",380
"113",2017,">50",110
"114",2017,"35-50",439
"115",2018,"<35",411
"116",2018,">50",136
"117",2018,"35-50",452
"118",2019,"<35",439
"119",2019,">50",132
"120",2019,"35-50",471
