"","range","summit_hour","summit_climbers"
"1","1990-1999",0,0
"2","1990-1999",1,0
"3","1990-1999",2,0
"4","1990-1999",3,0
"5","1990-1999",4,0.3
"6","1990-1999",5,2.4
"7","1990-1999",6,3.7
"8","1990-1999",7,3.5
"9","1990-1999",8,5.3
"10","1990-1999",9,6.2
"11","1990-1999",10,10.5
"12","1990-1999",11,10.6
"13","1990-1999",12,10
"14","1990-1999",13,6.5
"15","1990-1999",14,5.9
"16","1990-1999",15,3.3
"17","1990-1999",16,0.5
"18","1990-1999",17,0.5
"19","1990-1999",18,2.2
"20","1990-1999",19,0
"21","1990-1999",20,0
"22","1990-1999",21,0
"23","1990-1999",22,0
"24","1990-1999",23,0
"25","2000-2009",0,0
"26","2000-2009",1,0
"27","2000-2009",2,0
"28","2000-2009",3,7.9
"29","2000-2009",4,10.3
"30","2000-2009",5,32.2
"31","2000-2009",6,58.6
"32","2000-2009",7,56.1
"33","2000-2009",8,39.7
"34","2000-2009",9,35.8
"35","2000-2009",10,27.9
"36","2000-2009",11,21.4
"37","2000-2009",12,16.4
"38","2000-2009",13,5
"39","2000-2009",14,0.5
"40","2000-2009",15,6.6
"41","2000-2009",16,0
"42","2000-2009",17,0.1
"43","2000-2009",18,0
"44","2000-2009",19,0
"45","2000-2009",20,0
"46","2000-2009",21,0.1
"47","2000-2009",22,0
"48","2000-2009",23,0
"49","2010-2020",0,0.7
"50","2010-2020",1,9.3
"51","2010-2020",2,14.7
"52","2010-2020",3,25.3
"53","2010-2020",4,36.7
"54","2010-2020",5,97.6
"55","2010-2020",6,84.7
"56","2010-2020",7,66
"57","2010-2020",8,52.6
"58","2010-2020",9,37.5
"59","2010-2020",10,23.2
"60","2010-2020",11,31.3
"61","2010-2020",12,11
"62","2010-2020",13,21
"63","2010-2020",14,3.8
"64","2010-2020",15,1.9
"65","2010-2020",16,6.2
"66","2010-2020",17,0.9
"67","2010-2020",18,0.4
"68","2010-2020",19,0
"69","2010-2020",20,0
"70","2010-2020",21,0
"71","2010-2020",22,0
"72","2010-2020",23,1.3
