"","simple_country","n"
"1","Albania",6
"2","Algeria",2
"3","Andorra",31
"4","Argentina",238
"5","Armenia",3
"6","Australia",1442
"7","Austria",2138
"8","Azerbaijan",7
"9","Bahrain",2
"10","Bangladesh",22
"11","Belarus",36
"12","Belgium",469
"13","Bhutan",2
"14","Bolivia",7
"15","Bosnia-Herzegovina",516
"16","Botswana",1
"17","Brazil",168
"18","Bulgaria",228
"19","Canada",1136
"20","Chile",200
"21","China",2288
"22","Colombia",92
"23","Costa Rica",5
"24","Croatia",101
"25","Cyprus",4
"26","Czech Republic",1009
"27","Denmark",212
"28","Dominican Republic",5
"29","Ecuador",125
"30","Egypt",2
"31","Estonia",39
"32","Finland",187
"33","France",4619
"34","Georgia",95
"35","Germany",3457
"36","Greece",154
"37","Guatemala",14
"38","Hong Kong",16
"39","Hungary",156
"40","Iceland",45
"41","India",2020
"42","Indonesia",89
"43","Iran",335
"44","Ireland",243
"45","Israel",64
"46","Italy",2765
"47","Japan",6433
"48","Jordan",7
"49","Kazakhstan",148
"50","Kenya",7
"51","Kosovo",12
"52","Kuwait",5
"53","Kyrgyzstan",14
"54","Latvia",59
"55","Lebanon",13
"56","Liechtenstein",7
"57","Lithuania",55
"58","Luxembourg",24
"59","Macedonia",12
"60","Malaysia",143
"61","Malta",16
"62","Mauritius",5
"63","Mexico",285
"64","Moldova",2
"65","Mongolia",27
"66","Montenegro",10
"67","Morocco",6
"68","Myanmar",11
"69","N Korea",1
"70","Nepal",16156
"71","Netherlands",745
"72","New Zealand",812
"73","Norway",575
"74","Oman",5
"75","Pakistan",37
"76","Palestine",2
"77","Panama",2
"78","Paraguay",1
"79","Peru",33
"80","Philippines",38
"81","Poland",1406
"82","Portugal",74
"83","Qatar",3
"84","Romania",188
"85","Russia",1608
"86","S Africa",174
"87","S Korea",2913
"88","San Marino",5
"89","Saudi Arabia",5
"90","Serbia",75
"91","Singapore",132
"92","Slovakia",223
"93","Slovenia",573
"94","Spain",3331
"95","Sri Lanka",7
"96","Sweden",364
"97","Switzerland",2469
"98","Syria",1
"99","Taiwan",107
"100","Tanzania",1
"101","Thailand",30
"102","Tunisia",2
"103","Turkey",58
"104","Turkmenistan",1
"105","UAE",18
"106","UK",5264
"107","Ukraine",356
"108","Uruguay",5
"109","USA",6526
"110","Uzbekistan",35
"111","Venezuela",47
"112","Vietnam",5
